reference_entity,auction_date,currency,final_price,initial_market_midpoint,net_open_interest_amount,net_open_interest_direction,transaction_type,ticker,url,source,title
SEAT PAGINE GIALLE S.P.A.,2012-01-17,EUR,45.0,,,,Lien 1,Seat-A05,https://www.cdsdeterminationscommittees.org/lcds/seat-elcds-credit-event/,creditfixings,SEAT PAGINE GIALLE S.P.A. Credit Event Auction
NORTHERN ROCK (ASSET MANAGEMENT) PLC,2012-02-02,EUR,,,,,Senior - B1,NRAMC,https://www.cdsdeterminationscommittees.org/cds/northern-rock-asset-management-plc/,creditfixings,NORTHERN ROCK (ASSET MANAGEMENT) PLC Credit Event Auction
NORTHERN ROCK (ASSET MANAGEMENT) PLC,2012-02-02,EUR,99.125,,,,Senior/Subordinated - B2,NRAMC,https://www.cdsdeterminationscommittees.org/cds/northern-rock-asset-management-plc/,creditfixings,NORTHERN ROCK (ASSET MANAGEMENT) PLC Credit Event Auction
Eastman Kodak Company,2012-02-22,USD,23.875,,,,Senior,EK,https://www.cdsdeterminationscommittees.org/cds/eastman-kodak-company/,creditfixings,Eastman Kodak Company Credit Event Auction
Hellenic Republic,2012-03-19,EUR,21.5,,,,Senior,GREECE,https://www.cdsdeterminationscommittees.org/cds/the-hellenic-republic-3/,creditfixings,Hellenic Republic Credit Event Auction
"Elpida Memory, Inc.",2012-03-22,JPY,21.0,,,,Senior,HITACH-Elpida,https://www.cdsdeterminationscommittees.org/cds/elpida-memory-inc/,creditfixings,"Elpida Memory, Inc. Credit Event Auction"
"Financiere Gaillon 7 S.A.S., LR",2012-03-28,EUR,98.0,,,,Lien 1,FCGIA,https://www.cdsdeterminationscommittees.org/lcds/financier-gaillon-7/,creditfixings,"Financiere Gaillon 7 S.A.S., LR Credit Event Auction"
ERC Ireland Finance Limited,2012-03-29,EUR,0.0,,,,Senior,ERCIFT,https://www.cdsdeterminationscommittees.org/cds/erc-ireland-finance-limited/,creditfixings,ERC Ireland Finance Limited Credit Event Auction
"Hawker Beechcraft Acquisition Company, LLC",2012-04-26,USD,63.5,,,,Lien 1,HAWKER-Acqui,https://www.cdsdeterminationscommittees.org/lcds/hawker-beechcraft-acquisition-co-llc/,creditfixings,"Hawker Beechcraft Acquisition Company, LLC Credit Event Auction"
Eircom- Credit Agreement (LevXCA2Y257H),2012-05-02,,7.125,,,,Lien 2,Eircom-A06,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Eircom-A06,creditfixings,Eircom- Credit Agreement (LevXCA2Y257H) Credit Event Auction
Eircom- Credit Agreement (LevXCA2Y257H),2012-05-02,,62.0,,,,Lien 1,Eircom-A06,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=Eircom-A06,creditfixings,Eircom- Credit Agreement (LevXCA2Y257H) Credit Event Auction
SINO-FOREST CORPORATION,2012-05-09,USD,29.0,,,,Senior,SIFO,https://www.cdsdeterminationscommittees.org/cds/sino-forest-corporation-2/,creditfixings,SINO-FOREST CORPORATION Credit Event Auction
Houghton Mifflin Harcourt Publishing Company,2012-05-30,USD,55.5,,,,Senior,HTNMIF,https://www.cdsdeterminationscommittees.org/cds/houghton-mifflin-harcourt-publishing-company/,creditfixings,Houghton Mifflin Harcourt Publishing Company Credit Event Auction
"Residential Capital, LLC",2012-06-06,USD,17.625,,,,Senior,GM-ResCLLC,https://www.cdsdeterminationscommittees.org/cds/residential-capital-llc/,creditfixings,"Residential Capital, LLC Credit Event Auction"
Yell Limited,2012-11-15,,50.0,,,,Lien 1,YELLLN-LTD,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=YELLLN-LTD,creditfixings,Yell Limited Credit Event Auction
"OVERSEAS SHIPHOLDING GROUP, INC.",2012-12-06,USD,35.5,,,,Senior,OSG,https://www.cdsdeterminationscommittees.org/cds/overseas-shipholding-group-inc/,creditfixings,"OVERSEAS SHIPHOLDING GROUP, INC. Credit Event Auction"
Edison Mission Energy,2013-01-16,USD,48.5,,,,Senior,EIX-EdMisEnergy,https://www.cdsdeterminationscommittees.org/cds/edison-mission-energy/,creditfixings,Edison Mission Energy Credit Event Auction
Mediannuaire,2013-01-31,,40.0,,,,Lien 1,MEDIANA,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=MEDIANA,creditfixings,Mediannuaire Credit Event Auction
SNS Bank N.V.,2013-04-04,EUR,95.5,,,,Snr/Sub - B1,SNSBNK,https://www.cdsdeterminationscommittees.org/cds/sns-bank-nv/,creditfixings,SNS Bank N.V. Credit Event Auction
SNS Bank N.V.,2013-04-04,EUR,85.5,,,,Snr/Sub - B6,SNSBNK,https://www.cdsdeterminationscommittees.org/cds/sns-bank-nv/,creditfixings,SNS Bank N.V. Credit Event Auction
"Dex Media West, Inc.",2013-04-24,USD,79.0,,,,Lien 1,DXMI,https://www.cdsdeterminationscommittees.org/lcds/lcds/supermedia-inc-dex-media-west-inc-lcds-credit-event/,creditfixings,"Dex Media West, Inc. Credit Event Auction"
SuperMedia Inc.,2013-04-24,USD,74.625,,,,Lien 1,SPMD,https://www.cdsdeterminationscommittees.org/lcds/supermedia-inc-dex-media-west-inc-lcds-credit-event/,creditfixings,SuperMedia Inc. Credit Event Auction
"Bankia, S.A.",2013-06-05,EUR,96.25,,,,Snr/Sub - B1,BANKSA,https://www.cdsdeterminationscommittees.org/cds/bankia-s-a/,creditfixings,"Bankia, S.A. Credit Event Auction"
"Bankia, S.A.",2013-06-05,EUR,88.5,,,,Snr/Sub - B2,BANKSA,https://www.cdsdeterminationscommittees.org/cds/bankia-s-a/,creditfixings,"Bankia, S.A. Credit Event Auction"
"Bankia, S.A.",2013-06-05,EUR,86.5,,,,Snr/Sub - B3,BANKSA,https://www.cdsdeterminationscommittees.org/cds/bankia-s-a/,creditfixings,"Bankia, S.A. Credit Event Auction"
"Bankia, S.A.",2013-06-05,EUR,87.5,,,,Snr/Sub,BANKSA,https://www.cdsdeterminationscommittees.org/cds/bankia-s-a/,creditfixings,"Bankia, S.A. Credit Event Auction"
"URBI, Desarollos Urbanos, Sociedad Anonima Bursatil De Capital Variable",2013-06-06,USD,19.0,,,,Senior,URBISA,https://www.cdsdeterminationscommittees.org/cds/urbi-desarrollos-urbanos-s-a-b-de-c-v/,creditfixings,"URBI, Desarollos Urbanos, Sociedad Anonima Bursatil De Capital Variable Credit Event Auction"
"CENGAGE LEARNING ACQUISITIONS, INC.",2013-08-06,USD,74.0,,,,Lien1,CENGLQ,https://www.cdsdeterminationscommittees.org/lcds/cengage-learning-acquisitions-inc-lcds-credit-event/,creditfixings,"CENGAGE LEARNING ACQUISITIONS, INC. Credit Event Auction"
CODERE FINANCE (LUXEMBOURG) S.A.,2013-10-09,EUR,54.5,,,,Senior,CODSA-Fin,https://www.cdsdeterminationscommittees.org/lcds/cds/codere-finance-luxembourg-sa/,creditfixings,CODERE FINANCE (LUXEMBOURG) S.A. Credit Event Auction
OGX PETROLEO E GAS PARTICIPACOES S.A.,2013-12-04,USD,9.0,,,,Senior,OGXPET,https://www.cdsdeterminationscommittees.org/cds/ogx-petroleo-e-gas-participacoes-s-a/,creditfixings,OGX PETROLEO E GAS PARTICIPACOES S.A. Credit Event Auction
Energy Future Intermediate Holding Company LLC,2014-05-21,USD,105.75,,,,Senior,ENERFUT,https://www.cdsdeterminationscommittees.org/cds/energy-future-intermediate-holding-company-llc/,creditfixings,Energy Future Intermediate Holding Company LLC Credit Event Auction
Energy Future Holdings Corp.,2014-05-21,USD,56.125,,,,Senior,ENERGFU,https://www.cdsdeterminationscommittees.org/cds/energy-future-holdings-corp-4/,creditfixings,Energy Future Holdings Corp. Credit Event Auction
Texas Competitive Electric Holdings Company LLC,2014-05-21,USD,78.75,,,,Lien1,TXU-Texas,https://www.cdsdeterminationscommittees.org/cds/texas-competitive-electric-holdings-company-llc-2/,creditfixings,Texas Competitive Electric Holdings Company LLC Credit Event Auction
Texas Competitive Electric Holdings Company LLC,2014-05-21,USD,8.5,,,,Senior,TXU-Texas,https://www.cdsdeterminationscommittees.org/cds/texas-competitive-electric-holdings-company-llc-2/,creditfixings,Texas Competitive Electric Holdings Company LLC Credit Event Auction
Solocal Group S.A. (formerly known as PagesJaunes Group S.A.),2014-08-19,EUR,88.5,,,,Lien1,SOLOGRO,https://www.cdsdeterminationscommittees.org/lcds/pages-jaunes-credit-event-2/,creditfixings,Solocal Group S.A. (formerly known as PagesJaunes Group S.A.) Credit Event Auction
Argentine Republic,2014-09-03,USD,39.5,,,,Senior,ARGENT,https://www.cdsdeterminationscommittees.org/cds/argentine-republic/,creditfixings,Argentine Republic Credit Event Auction
"Caesars Entertainment Operating Company, Inc.",2015-02-19,USD,15.875,,,,Senior,CESEOP,https://www.cdsdeterminationscommittees.org/lcds/caesars-entertainment-operating-company-inc-lcds-credit-event/,creditfixings,"Caesars Entertainment Operating Company, Inc. Credit Event Auction"
"Caesars Entertainment Operating Company, Inc.",2015-02-19,USD,96.0,,,,Lien1,CESEOP,https://www.cdsdeterminationscommittees.org/lcds/caesars-entertainment-operating-company-inc-lcds-credit-event/,creditfixings,"Caesars Entertainment Operating Company, Inc. Credit Event Auction"
RadioShack Corporation,2015-03-05,USD,11.5,,,,Senior,RSH,https://www.cdsdeterminationscommittees.org/cds/radioshack-corporation-2/,creditfixings,RadioShack Corporation Credit Event Auction
Sabine Oil & Gas Corporation,2015-06-23,USD,15.875,,,,Senior,SABINOI,https://www.cdsdeterminationscommittees.org/cds/sabine-oil-gas-corporation/,creditfixings,Sabine Oil & Gas Corporation Credit Event Auction
"Alpha Appalachia Holdings, Inc.",2015-09-17,USD,6.0,,,,Senior,AAHI,https://www.cdsdeterminationscommittees.org/cds/alpha-appalachia-holdings-inc-fka-massey-energy-company/,creditfixings,"Alpha Appalachia Holdings, Inc. Credit Event Auction"
The Republic of Ukraine,2015-10-06,USD,80.625,,,,Senior,UKRAIN,https://www.cdsdeterminationscommittees.org/cds/republic-of-ukraine-6/,creditfixings,The Republic of Ukraine Credit Event Auction
"ABENGOA, S.A.",2016-01-14,EUR,4.625,,,,Senior,ABNG,https://www.cdsdeterminationscommittees.org/cds/abengoa-sa-3/,creditfixings,"ABENGOA, S.A. Credit Event Auction"
PACIFIC EXPLORATION & PRODUCTION CORPORATION,2016-04-06,USD,20.0,,,,Senior,PACIEXP,https://www.cdsdeterminationscommittees.org/cds/pacific-exploration-production-corporation/,creditfixings,PACIFIC EXPLORATION & PRODUCTION CORPORATION Credit Event Auction
Peabody Energy Corporation,2016-05-04,USD,11.0,,,,Senior,PLCOAL,https://www.cdsdeterminationscommittees.org/cds/peabody-energy-corporation/,creditfixings,Peabody Energy Corporation Credit Event Auction
NORSKE SKOGINDUSTRIER ASA,2016-06-22,EUR,29.625,,,,Snr/Sub - B2,NSINO,https://www.cdsdeterminationscommittees.org/cds/norske-skogsindustrier-asa/,creditfixings,NORSKE SKOGINDUSTRIER ASA Credit Event Auction
NORSKE SKOGINDUSTRIER ASA,2016-06-22,EUR,27.0,,,,Snr/Sub - B3,NSINO,https://www.cdsdeterminationscommittees.org/cds/norske-skogsindustrier-asa/,creditfixings,NORSKE SKOGINDUSTRIER ASA Credit Event Auction
NORSKE SKOGINDUSTRIER ASA,2016-06-22,EUR,12.0,,,,Snr/Sub - B4,NSINO,https://www.cdsdeterminationscommittees.org/cds/norske-skogsindustrier-asa/,creditfixings,NORSKE SKOGINDUSTRIER ASA Credit Event Auction
Portugal Telecom International Finance B.V.,2016-07-21,EUR,20.0,,,,Senior,PLTMPL-IntFin,https://www.cdsdeterminationscommittees.org/cds/portugal-telecom-international-finance-b-v/,creditfixings,Portugal Telecom International Finance B.V. Credit Event Auction
Commonwealth of Puerto Rico,2016-08-17,USD,58.5,,,,Senior,CMNWPR,https://www.cdsdeterminationscommittees.org/cds/commonwealth-of-puerto-rico/,creditfixings,Commonwealth of Puerto Rico Credit Event Auction
Grupo Isolux Corsan Finance B.V.,2016-08-24,EUR,15.75,,,,Senior,GRUPOIS,https://www.cdsdeterminationscommittees.org/cds/grupo-isolux-corsan-finance-b-v/,creditfixings,Grupo Isolux Corsan Finance B.V. Credit Event Auction
"iHeartCommunications, Inc.",2017-02-02,USD,83.25,,,,Lien1,IHEAINC,https://www.cdsdeterminationscommittees.org/lcds/iheart-communications-inc-lcds-credit-event/,creditfixings,"iHeartCommunications, Inc. Credit Event Auction"
"iHeartCommunications, Inc.",2017-02-02,USD,35.5,,,,Senior,IHEAINC,https://www.cdsdeterminationscommittees.org/lcds/iheart-communications-inc-lcds-credit-event/,creditfixings,"iHeartCommunications, Inc. Credit Event Auction"
Avaya Inc.,2017-03-01,USD,80.5,,,,Lien1,AV,https://www.cdsdeterminationscommittees.org/lcds/avaya-inc-lcds-credit-event/,creditfixings,Avaya Inc. Credit Event Auction
"GenOn Energy, Inc.",2017-07-11,USD,61.0,,,,Senior,GENOENE,https://www.cdsdeterminationscommittees.org/cds/genon-energy-inc/,creditfixings,"GenOn Energy, Inc. Credit Event Auction"
Puerto Rico Electric Power Authority,2017-08-02,USD,59.0,,,,Senior,PREPA,https://www.cdsdeterminationscommittees.org/cds/puerto-rico-electric-power-authority-prepa/,creditfixings,Puerto Rico Electric Power Authority Credit Event Auction
NORSKE SKOGINDUSTRIER ASA,2017-09-14,EUR,2.25,,,,Senior,NSINO,https://www.cdsdeterminationscommittees.org/cds/norske-skogsindustrier-asa/,creditfixings,NORSKE SKOGINDUSTRIER ASA Credit Event Auction
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,2017-09-21,EUR,49.5,,,,Sub,MONTE,https://www.cdsdeterminationscommittees.org/cds/banca-monte-dei-paschi-di-siena-s-p-a/,creditfixings,BANCA MONTE DEI PASCHI DI SIENA S.P.A. Credit Event Auction
"BANCO POPULAR ESPANOL, S.A.",2017-10-05,EUR,102.5,,,,Snr/Sub 2003 B2,BPESP,https://www.cdsdeterminationscommittees.org/cds/banco-popular-espanol-sa/,creditfixings,"BANCO POPULAR ESPANOL, S.A. Credit Event Auction"
"BANCO POPULAR ESPANOL, S.A.",2017-10-05,EUR,100.375,,,,Snr/Sub 2003 B1,BPESP,https://www.cdsdeterminationscommittees.org/cds/banco-popular-espanol-sa/,creditfixings,"BANCO POPULAR ESPANOL, S.A. Credit Event Auction"
TOYS,2017-10-11,USD,30.625,,,,Lien1,TOYS,https://www.cdsdeterminationscommittees.org/lcds/toys-to-toys-r-us-delaware-inc-lcds-credit-event/,creditfixings,TOYS Credit Event Auction
TOYS,2017-10-11,USD,26.0,,,,Senior,TOY,https://www.cdsdeterminationscommittees.org/cds/toys-r-us-inc/,creditfixings,TOYS Credit Event Auction
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,2017-11-01,EUR,99.875,,,,Snr/Sub 2003 B2,MONTE,https://www.cdsdeterminationscommittees.org/cds/banca-monte-dei-paschi-di-siena-s-p-a/,creditfixings,BANCA MONTE DEI PASCHI DI SIENA S.P.A. Credit Event Auction
BANCA MONTE DEI PASCHI DI SIENA S.P.A.,2017-11-01,EUR,100.0,,,,Snr/Sub 2003 B1,MONTE,https://www.cdsdeterminationscommittees.org/cds/banca-monte-dei-paschi-di-siena-s-p-a/,creditfixings,BANCA MONTE DEI PASCHI DI SIENA S.P.A. Credit Event Auction
Bolivarian Republic of Venezuela,2017-12-12,USD,24.5,,,,Senior,VENZ,https://www.cdsdeterminationscommittees.org/cds/usp97475an08/,creditfixings,Bolivarian Republic of Venezuela Credit Event Auction
"Petroleos de Venezuela, S.A.",2017-12-13,USD,17.625,,,,Senior,PDV,https://www.cdsdeterminationscommittees.org/cds/petroleos-de-venezuela-s-a-3/,creditfixings,"Petroleos de Venezuela, S.A. Credit Event Auction"
"Nine West Holdings, Inc.",2018-04-25,USD,12.5,,,,Senior,NINEWES,https://www.cdsdeterminationscommittees.org/cds/nine-west-holdings-inc/,creditfixings,"Nine West Holdings, Inc. Credit Event Auction"
Noble Group Limited,2018-04-25,USD,45.25,,,,Senior,NBLGP,https://www.cdsdeterminationscommittees.org/cds/noble-group-limited-4/,creditfixings,Noble Group Limited Credit Event Auction
"NOVO BANCO, S.A.",2018-05-02,EUR,87.0,,,,Non-Sro Transactions B4,NOVOBAN,https://www.cdsdeterminationscommittees.org/cds/novo-banco-s-a-3/,creditfixings,"NOVO BANCO, S.A. Credit Event Auction"
"NOVO BANCO, S.A.",2018-05-02,EUR,100.0,,,,Non-Sro Transactions B1,NOVOBAN,https://www.cdsdeterminationscommittees.org/cds/novo-banco-s-a-3/,creditfixings,"NOVO BANCO, S.A. Credit Event Auction"
"BANCO POPULAR ESPANOL, S.A.",2018-09-06,EUR,0.0,,,,Sub 2014,BPESP,https://www.cdsdeterminationscommittees.org/cds/banco-popular-espanol-sa/,creditfixings,"BANCO POPULAR ESPANOL, S.A. Credit Event Auction"
"NOVO BANCO, S.A.",2018-11-27,EUR,89.96,,,,Senior Sro Transactions,NOVOBAN,https://www.cdsdeterminationscommittees.org/cds/novo-banco-s-a-3/,creditfixings,"NOVO BANCO, S.A. Credit Event Auction"
ASTALDI SOCIETA PER AZIONI,2018-11-29,EUR,30.875,,,,Senior,ASTL,https://www.cdsdeterminationscommittees.org/cds/astaldi-spa-2/,creditfixings,ASTALDI SOCIETA PER AZIONI Credit Event Auction
Sears Roebuck Acceptance Corp.,2019-01-17,USD,79.875,,,,Senior,SHC-Acceptance,https://www.cdsdeterminationscommittees.org/cds/sears-roebuck-acceptance-corp/,creditfixings,Sears Roebuck Acceptance Corp. Credit Event Auction
Parker Drilling Company,2019-01-23,USD,49.0,,,,Senior,PKD,https://www.cdsdeterminationscommittees.org/cds/parker-drilling-company/,creditfixings,Parker Drilling Company Credit Event Auction
Pac Gas & Elec Co,2019-02-27,,77.75,,,,Senior,PCG-PacGas+Elec,https://www.creditfixings.com/CreditEventAuctions/results.jsp?ticker=PCG-PacGas+Elec,creditfixings,Pac Gas & Elec Co Credit Event Auction
"Windstream Services, LLC",2019-04-03,USD,29.5,,,,Senior,WINDSSE,https://www.cdsdeterminationscommittees.org/cds/windstream-services-llc-6/,creditfixings,"Windstream Services, LLC Credit Event Auction"
NEW LOOK SENIOR ISSUER PLC,2019-06-05,EUR,0.0,,,,Senior,NEWLOOAC,https://www.cdsdeterminationscommittees.org/cds/new-look-senior-issuer-plc-3/,creditfixings,NEW LOOK SENIOR ISSUER PLC Credit Event Auction
RALLYE,2019-06-27,EUR,12.5,,,,Senior,GENP,https://www.cdsdeterminationscommittees.org/cds/rallye/,creditfixings,RALLYE Credit Event Auction
Weatherford International Ltd.,2019-07-24,USD,44.5,,,,Senior,WFT,https://www.cdsdeterminationscommittees.org/cds/weatherford-international-ltd-2/,creditfixings,Weatherford International Ltd. Credit Event Auction
Galapagos Holding S.A.,2019-08-07,EUR,6.875,,,,Senior,GALAPHO,https://www.cdsdeterminationscommittees.org/cds/galapagos-holding-sa/,creditfixings,Galapagos Holding S.A. Credit Event Auction
TOP GUN REALISATIONS 61 LIMITED,2019-09-11,EUR,100.0,,,,Senior,TOGUN,https://www.cdsdeterminationscommittees.org/cds/top-gun-realisations-61-limited/,creditfixings,TOP GUN REALISATIONS 61 LIMITED Credit Event Auction
STEINHOFF EUROPE AG,2019-09-25,EUR,84.0,,,,Senior,STEIEUR,https://www.cdsdeterminationscommittees.org/cds/steinhoff-europe-ag/,creditfixings,STEINHOFF EUROPE AG Credit Event Auction
THOMAS COOK GROUP PLC,2019-10-30,EUR,10.125,,,,Senior,THCP,https://www.cdsdeterminationscommittees.org/cds/thomas-cook-group-plc/,creditfixings,THOMAS COOK GROUP PLC Credit Event Auction
Dean Foods Company,2019-12-10,USD,9.25,,,,Senior,DNSFDS,https://www.cdsdeterminationscommittees.org/cds/dean-foods-company/,creditfixings,Dean Foods Company Credit Event Auction
THE McCLATCHY COMPANY,2020-03-10,USD,2.0,,,,Senior,MCLTHY,https://www.cdsdeterminationscommittees.org/cds/the-mcclatchy-company/,creditfixings,THE McCLATCHY COMPANY Credit Event Auction
Lebanese Republic,2020-04-23,USD,14.125,,,,Senior,LEBAN,https://www.cdsdeterminationscommittees.org/cds/the-lebanese-republic/,creditfixings,Lebanese Republic Credit Event Auction
Whiting Petroleum Corporation,2020-05-06,USD,7.0,,,,Senior,WHPEC,https://www.cdsdeterminationscommittees.org/cds/whiting-petroleum-corporation/,creditfixings,Whiting Petroleum Corporation Credit Event Auction
FRONTIER COMMUNICATIONS CORPORATION,2020-05-13,USD,28.75,,,,Senior,FRCA,https://www.cdsdeterminationscommittees.org/cds/frontier-communications-corporation/,creditfixings,FRONTIER COMMUNICATIONS CORPORATION Credit Event Auction
Republic of Ecuador,2020-05-19,USD,34.875,,,,Senior,ECUA,https://www.cdsdeterminationscommittees.org/cds/republic-of-ecuador/,creditfixings,Republic of Ecuador Credit Event Auction
"Diamond Offshore Drilling, Inc.",2020-05-22,USD,7.375,,,,Senior,DO,https://www.cdsdeterminationscommittees.org/cds/diamond-offshore-drilling-inc/,creditfixings,"Diamond Offshore Drilling, Inc. Credit Event Auction"
The Neiman Marcus Group LLC,2020-05-29,USD,3.0,,,,Senior,THENEI,https://www.cdsdeterminationscommittees.org/cds/neiman-marcus-group-llc/,creditfixings,The Neiman Marcus Group LLC Credit Event Auction
Intelsat Investments S.A.,2020-06-04,USD,100.0,,,,Senior,INTINV,https://www.cdsdeterminationscommittees.org/cds/intelsat-investments-s-a/,creditfixings,Intelsat Investments S.A. Credit Event Auction
"J. C. Penney Company, Inc.",2020-06-09,USD,0.125,,,,Senior,JCP,https://www.cdsdeterminationscommittees.org/cds/j-c-penney-company-inc/,creditfixings,"J. C. Penney Company, Inc. Credit Event Auction"
Argentine Republic,2020-06-12,USD,31.5,,,,Senior,ARGENT,https://www.cdsdeterminationscommittees.org/cds/argentine-republic/,creditfixings,Argentine Republic Credit Event Auction
THE HERTZ CORPORATION,2020-06-24,USD,26.375,,,,Senior,F-Hertz,https://www.cdsdeterminationscommittees.org/cds/the-hertz-corporation/,creditfixings,THE HERTZ CORPORATION Credit Event Auction
CALIFORNIA RESOURCES CORPORATION,2020-07-07,USD,1.125,,,,Senior,CALIRES,https://www.cdsdeterminationscommittees.org/cds/california-resources-corporation/,creditfixings,CALIFORNIA RESOURCES CORPORATION Credit Event Auction
Wirecard AG,2020-07-29,EUR,11.0,,,,Senior,WIREAG,https://www.cdsdeterminationscommittees.org/cds/wirecard-ag/,creditfixings,Wirecard AG Credit Event Auction
Chesapeake Energy Corporation,2020-08-04,USD,3.5,,,,Senior,CHK,https://www.cdsdeterminationscommittees.org/cds/chesapeake-energy-corporation/,creditfixings,Chesapeake Energy Corporation Credit Event Auction
HEMA BondCo I B.V.,2020-09-08,EUR,68.5,,,,Senior,HEMABON,https://www.cdsdeterminationscommittees.org/cds/hema-bondco-i-b-v/,creditfixings,HEMA BondCo I B.V. Credit Event Auction
Noble Corporation,2020-09-10,USD,1.0,,,,Senior,NE,https://www.cdsdeterminationscommittees.org/cds/noble-corporation-plc/,creditfixings,Noble Corporation Credit Event Auction
MATALAN FINANCE PLC,2020-09-15,GBP,36.5,,,,Senior,MATAFIN,https://www.cdsdeterminationscommittees.org/cds/matalan-finance-plc/,creditfixings,MATALAN FINANCE PLC Credit Event Auction
Pizzaexpress Financing 1 PLC,2020-10-01,GBP,0.125,,,,Senior,PIZZAFI,https://www.cdsdeterminationscommittees.org/cds/pizzaexpress-financing-1-plc/,creditfixings,Pizzaexpress Financing 1 PLC Credit Event Auction
Selecta Group B.V.,2020-10-20,EUR,51.625,,,,Senior,SELEGRO,https://www.cdsdeterminationscommittees.org/cds/selecta-group-b-v/,creditfixings,Selecta Group B.V. Credit Event Auction
Europcar Mobility Group,2021-01-13,,100.0,,,,Senior,EUROPMO,https://www.cdsdeterminationscommittees.org/cds/europcar-mobility-group-s-a/,creditfixings,Europcar Mobility Group Credit Event Auction
"Talen Energy Supply, LLC",2022-06-07,USD,70.0,,,,Senior,TALEENE,https://www.cdsdeterminationscommittees.org/cds/talen-energy-supply-llc/,creditfixings,"Talen Energy Supply, LLC Credit Event Auction"
Russian Federation,2022-09-12,USD,56.125,,,,Senior,RUSSIA,https://www.cdsdeterminationscommittees.org/cds/the-russian-federation-3/,creditfixings,Russian Federation Credit Event Auction
The Republic of Ukraine,2022-09-28,USD,17.875,,,,Senior,UKRAIN,https://www.cdsdeterminationscommittees.org/cds/republic-of-ukraine-6/,creditfixings,The Republic of Ukraine Credit Event Auction
"DIAMOND SPORTS GROUP, LLC",2023-04-13,USD,1.75,,,,Senior,DIAMSPO,https://www.cdsdeterminationscommittees.org/cds/diamond-sports-group-llc/,creditfixings,"DIAMOND SPORTS GROUP, LLC Credit Event Auction"
Vue Entertainment International Limited,2023-09-14,EUR,100.0,,,,Senior,VUEEN,https://www.cdsdeterminationscommittees.org/cds/vue-international-bidco-plc/,creditfixings,Vue Entertainment International Limited Credit Event Auction
CASINO GUICHARD-PERRACHON,2023-09-25,EUR,1.0,,,,Senior,GROUPE,https://www.cdsdeterminationscommittees.org/cds/casino-guichard-perrachon-sa-11/,creditfixings,CASINO GUICHARD-PERRACHON Credit Event Auction
Rite Aid Corporation,2023-11-08,USD,2.0,,,,Senior,RAD,https://www.cdsdeterminationscommittees.org/cds/rite-aid-corporation/,creditfixings,Rite Aid Corporation Credit Event Auction
"Avon Products, Inc.",2024-09-24,USD,34.0,,,,Senior,AVP,https://www.cdsdeterminationscommittees.org/cds/avon-products-inc-2/,creditfixings,"Avon Products, Inc. Credit Event Auction"
Atos SE,2024-10-09,EUR,3.0,,,,Senior,ATOS,https://www.cdsdeterminationscommittees.org/cds/atos-se/,creditfixings,Atos SE Credit Event Auction
Intrum AB,2025-01-16,EUR,76.0,,,,Senior,INTRUAB,https://www.cdsdeterminationscommittees.org/cds/intrum-ab/,creditfixings,Intrum AB Credit Event Auction
ALTICE FRANCE,2025-08-27,EUR,87.75,,,,Senior,ALTICEF,https://www.cdsdeterminationscommittees.org/cds/altice-france-s-a/,creditfixings,ALTICE FRANCE Credit Event Auction
NFE Financing LLC,2026-01-14,USD,26.625,,,,Senior Secured,NFEFIN,https://www.cdsdeterminationscommittees.org/cds/nfe-financing-llc/,creditfixings,NFE Financing LLC Credit Event Auction
New Fortress Energy Inc.,2026-02-11,,8.75,,,,Senior Secured,NEWFORAB,https://www.cdsdeterminationscommittees.org/cds/new-fortress-energy-inc-2/,creditfixings,New Fortress Energy Inc. Credit Event Auction
Ardagh Packaging Finance PLC,2026-03-11,EUR,33.875,,,,Senior,ARDAPAC,https://www.cdsdeterminationscommittees.org/cds/ardagh-packaging-finance-plc-3/,creditfixings,Ardagh Packaging Finance PLC Credit Event Auction
Liberty Interactive LLC,2026-05-13,USD,6.25,,,,Senior,LITLC,https://www.cdsdeterminationscommittees.org/documents/2026/04/liberty-interactive-llc-bankruptcy-credit-event-4-21-26.pdf/,creditfixings,Liberty Interactive LLC Credit Event Auction
