date,committee,reference_entity,issue_number,credit_event_type,decision,doc_type,url,source,title,tags,auction_date,auction_held
2015-09-10,,Alpha Sep,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/alpha-sep-10-decision.pdf/,document-feed,Alpha Sep 10 Decision – Latest Revision,,,False
2015-09-14,,Alpha Sep,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/alpha-ast-blackline-sep-14.pdf/,document-feed,Alpha AST Blackline Sep 14 – Latest Revision,,,False
2015-09-14,,Alpha Sep,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/alpha-ast-sep-14.pdf/,document-feed,Alpha AST Sep 14 – Latest Revision,,,False
2015-09-15,,Alpha List Of Bidders Sept,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/alpha-list-of-bidders-sept-15.pdf/,document-feed,Alpha List of Bidders Sept 15 – Latest Revision,,,False
2015-09-19,EMEA,The Republic of Ukraine,9080,Repudiation/Moratorium,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/republic-of-ukraine-6/,dc-isda,The Republic of Ukraine,auction,2015-10-06,True
2015-09-21,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-decision-21092015.pdf/,document-feed,EMEA DC Decision 21092015 – Latest Revision,,,False
2015-09-23,EMEA,,2309201502,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-decision-2309201502.pdf/,document-feed,EMEA DC Decision 2309201502 – Latest Revision,,,False
2015-09-23,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-decision-23092015.pdf/,document-feed,EMEA DC Decision 23092015 – Latest Revision,,,False
2015-09-25,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-decision-25092015-2.pdf/,document-feed,EMEA DC Decision 25092015 – Latest Revision,,,False
2015-09-25,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-decision-25092015.pdf/,document-feed,EMEA DC Decision 25092015 – Latest Revision,,,False
2015-09-28,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-statement-28092015-2.pdf/,document-feed,EMEA DC Statement 28092015 – Latest Revision,,,False
2015-09-28,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2015/09/emea-dc-statement-28092015.pdf/,document-feed,EMEA DC Statement 28092015 – Latest Revision,,,False
2015-09-30,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/09/initial-list-3.xls/,document-feed,Initial List – Latest Revision,,,False
2015-10-01,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/supplemental-list-2.pdf/,document-feed,Supplemental List – Latest Revision,,,False
2015-10-01,,Ukraine,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ukraine-ast.pdf/,document-feed,Ukraine AST – Latest Revision,,,False
2015-10-01,,Alpha,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/blackline-alpha-2.pdf/,document-feed,Blackline Alpha – Latest Revision,,,False
2015-10-01,,Codere,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/blackline-codere.pdf/,document-feed,Blackline Codere – Latest Revision,,,False
2015-10-01,,Alpha,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/blackline-alpha.pdf/,document-feed,Blackline Codere – Latest Revision,,,False
2015-10-01,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/emea-dc-decision-01102015.pdf/,document-feed,EMEA DC Decision 01102015 – Latest Revision,,,False
2015-10-01,,Initial,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/initial-list-of-deliverable-obligations-2.pdf/,document-feed,Initial List of Deliverable Obligations – Latest Revision,,,False
2015-10-01,,Initial,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/initial-list-of-deliverable-obligations.pdf/,document-feed,Initial List of Deliverable Obligations – Latest Revision,,,False
2015-10-02,,Pbl,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/pbl.doc/,document-feed,PBL – Latest Revision,,,False
2015-10-02,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/emea-dc-decision-02102015-2.pdf/,document-feed,EMEA DC Decision 02102015 – Latest Revision,,,False
2015-10-02,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ast-redline.pdf/,document-feed,AST Redline – Latest Revision,,,False
2015-10-02,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/auction-settlement-terms-2.pdf/,document-feed,Auction Settlement Terms – Latest Revision,,,False
2015-10-02,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/final-list-of-deliverable-obligations.pdf/,document-feed,Final List of Deliverable Obligations – Latest Revision,,,False
2015-10-05,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/list-of-participating-bidders-7.pdf/,document-feed,List of Participating Bidders – Latest Revision,,,False
2015-10-05,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/emea-dc-decision-05102015.pdf/,document-feed,EMEA DC Decision 05102015 – Latest Revision,,,False
2015-10-05,,Submission Of Potential Dos And Challenges,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/submission-of-potential-dos-and-challenges.pdf/,document-feed,Submission of Potential DOs and challenges – Latest Revision,,,False
2015-10-05,,Ukraine,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ukraine-final-list.pdf/,document-feed,Ukraine Final List – Latest Revision,,,False
2015-10-05,,Ukraine,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/submission-of-potential-deliverable-obligations-and-challenges-2.pdf/,document-feed,Final Ukraine AST – Latest Revision,,,False
2015-10-08,Asia ex-Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/aej-dc-decision-08102015.pdf/,document-feed,AEJ DC Decision 08102015 – Latest Revision,,,False
2015-10-09,EMEA,Revised,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/revised-emea-dc-decision-09102015.pdf/,document-feed,revised EMEA DC Decision 09102015 – Latest Revision,,,False
2015-10-09,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/emea-dc-decision-09102015.pdf/,document-feed,EMEA DC Decision 09102015 – Latest Revision,,,False
2015-10-15,,Ryland Oct,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ryland-oct-15.pdf/,document-feed,Ryland Oct 15 – Latest Revision,,,False
2015-10-21,,Ryland October,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ryland-october-21.pdf/,document-feed,Ryland October 21 – Latest Revision,,,False
2015-10-21,,Ucits Vote,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/ucits-vote-10-20-2015.pdf/,document-feed,UCITS vote 10-20-2015 – Latest Revision,,,False
2015-10-26,Asia ex-Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/aej-dc-decision-26102015.pdf/,document-feed,AEJ DC Decision 26102015 – Latest Revision,,,False
2015-10-30,,Cro Filing,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/10/cro-filing.pdf/,document-feed,CRO filing – Latest Revision,,,False
2015-11-03,,Hp Vote Nov,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/hp-vote-nov-3.pdf/,document-feed,HP Vote Nov 3 – Latest Revision,,,False
2015-11-06,,Meadwestvaco Nov,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/meadwestvaco-nov-6.pdf/,document-feed,MeadWestvaco Nov 6 – Latest Revision,,,False
2015-11-06,EMEA,,0611201502,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/emea-dc-decision-0611201502.pdf/,document-feed,EMEA DC Decision 0611201502 – Latest Revision,,,False
2015-11-06,EMEA,Updated Dc,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2015/11/updated-emea-dc-meeting-statement-6-november-2015.pdf/,document-feed,Updated EMEA DC Meeting Statement 6 November 2015 – Latest Revision,,,False
2015-11-06,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2015/11/emea-dc-meeting-statement-6-november-2015.pdf/,document-feed,EMEA DC Meeting Statement 6 November 2015 – Latest Revision,,,False
2015-11-06,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/emea-dc-decision-06112015.pdf/,document-feed,EMEA DC Decision 06112015 – Latest Revision,,,False
2015-11-12,,Meadwestvaco,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/meadwestvaco.pdf/,document-feed,Meadwestvaco – Latest Revision,,,False
2015-11-12,,Hp Vote Nov,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/hp-vote-nov-12.pdf/,document-feed,HP Vote Nov 12 – Latest Revision,,,False
2015-11-13,,Hospira Nov,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/hospira-nov-13.pdf/,document-feed,Hospira Nov 13 – Latest Revision,,,False
2015-11-20,,Hospira Nov,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/hospira-nov-20.pdf/,document-feed,Hospira Nov 20 – Latest Revision,,,False
2015-11-25,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/emea-dc-decision-25112015.pdf/,document-feed,EMEA DC Decision 25112015 – Latest Revision,,,False
2015-11-26,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/11/emea-dc-decision-26112015-3.pdf/,document-feed,EMEA DC Decision 26112015 – Latest Revision,,,False
2015-12-01,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-01122015.pdf/,document-feed,EMEA DC Decision 01122015 – Latest Revision,,,False
2015-12-04,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-04122015.pdf/,document-feed,EMEA DC Decision 04122015 – Latest Revision,,,False
2015-12-08,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-09122015.pdf/,document-feed,EMEA DC Meeting Statement 8 December 2015 – Latest Revision,,,False
2015-12-08,EMEA,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-abengoa.pdf/,document-feed,EMEA DC Decision- Abengoa – Latest Revision,,,False
2015-12-09,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-09122015-2.pdf/,document-feed,EMEA DC Decision 09122015 – Latest Revision,,,False
2015-12-10,EMEA,"ABENGOA, S.A.",9081,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/abengoa-sa-3/,dc-isda,"ABENGOA, S.A.",auction,2016-01-14,True
2015-12-11,EMEA,Abengoa List Of Obligations Submitted For Review By Dc,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/abengoa-list-of-obligations-submitted-for-review-by-emea-dc.pdf/,document-feed,Abengoa – List of obligations submitted for review by EMEA DC – Latest Revision,,,False
2015-12-11,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/49757.pdf/,document-feed,EMEA DC Decision 11122015 – Latest Revision,,,False
2015-12-16,EMEA,Revised,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/emea-dc-decision-16122015-revised.pdf/,document-feed,EMEA DC Decision 16122015 revised – Latest Revision,,,False
2015-12-17,,Omnicare,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2015/12/omnicare-12-17.pdf/,document-feed,Omnicare 12-17 – Latest Revision,,,False
2016-01-05,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-05012016.pdf/,document-feed,EMEA DC Decision 05012016 – Latest Revision,,,False
2016-01-05,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/initial-list-abengoa.pdf/,document-feed,Initial List (Abengoa) – Latest Revision,,,False
2016-01-06,Americas,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/americas-dc-decision-01062015.pdf/,document-feed,Americas DC Decision 01062015 – Latest Revision,,,False
2016-01-06,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-06012016.pdf/,document-feed,EMEA DC Decision 06012016 – Latest Revision,,,False
2016-01-07,,Novo Banco Pai,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/novo-banco-pai-3.pdf/,document-feed,Novo Banco PAI 3 – Latest Revision,,,False
2016-01-07,EMEA,,0701201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-0701201602.pdf/,document-feed,EMEA DC Decision 0701201602 – Latest Revision,,,False
2016-01-07,,Ukraine,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-ast-redline-ukraine.pdf/,document-feed,Abengoa AST- redline- Ukraine – Latest Revision,,,False
2016-01-07,,Abengoa Alpha,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-ast-redline-alpha.pdf/,document-feed,Abengoa AST- redline- Alpha – Latest Revision,,,False
2016-01-07,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-ast.pdf/,document-feed,Abengoa AST – Latest Revision,,,False
2016-01-07,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-supplemental-list-redline.pdf/,document-feed,Abengoa Supplemental List redline – Latest Revision,,,False
2016-01-07,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-supplemental-list.pdf/,document-feed,Abengoa Supplemental List – Latest Revision,,,False
2016-01-07,EMEA,Updated,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-07012016-updated.pdf/,document-feed,EMEA DC Decision 07012016 updated – Latest Revision,,,False
2016-01-07,Americas,Ge Capital Corp,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/americas-dc-decision-01072016-ge-capital-corp.pdf/,document-feed,Americas DC Decision 01072016 (GE Capital Corp) – Latest Revision,,,False
2016-01-08,,Dv Abengoa V,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/dv-abengoa-initial-list-v-supplemental-list.pdf/,document-feed,DV- Abengoa Initial List v Supplemental List – Latest Revision,,,False
2016-01-08,,New Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/new-abengoa-supplemental-list-redline.pdf/,document-feed,New Abengoa Supplemental List- redline – Latest Revision,,,False
2016-01-08,,New Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/new-abengoa-supplemental-list.pdf/,document-feed,New Abengoa Supplemental List – Latest Revision,,,False
2016-01-08,EMEA,,0801201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-0801201602.pdf/,document-feed,EMEA DC Decision 0801201602 – Latest Revision,,,False
2016-01-08,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-08012016.pdf/,document-feed,EMEA DC Decision 08012016 – Latest Revision,,,False
2016-01-11,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-list-of-participating-bidders.pdf/,document-feed,Abengoa List of Participating Bidders – Latest Revision,,,False
2016-01-11,EMEA,,1101201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-1101201602.pdf/,document-feed,EMEA DC Decision 1101201602 – Latest Revision,,,False
2016-01-11,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-11012016.pdf/,document-feed,EMEA DC Decision 11012016 – Latest Revision,,,False
2016-01-12,EMEA,Updated,1201201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-1201201602-updated.pdf/,document-feed,EMEA DC Decision 1201201602 updated – Latest Revision,,,False
2016-01-12,,Abengoa,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/abengoa-final-list.pdf/,document-feed,Abengoa Final List – Latest Revision,,,False
2016-01-12,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-12012016.pdf/,document-feed,EMEA DC Decision 12012016 – Latest Revision,,,False
2016-01-13,,Markwest Energy Partners,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/markwest-energy-partners-january-13-2016.pdf/,document-feed,MarkWest Energy Partners – January 13 2016 – Latest Revision,,,False
2016-01-13,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-13012016.pdf/,document-feed,EMEA DC Decision 13012016 – Latest Revision,,,False
2016-01-14,,Omnicare Vote,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/omnicare-vote-1-14-2016.pdf/,document-feed,Omnicare Vote 1-14-2016 – Latest Revision,,,False
2016-01-14,EMEA,,1401201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-1401201602.pdf/,document-feed,EMEA DC Decision 1401201602 – Latest Revision,,,False
2016-01-14,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-14012016.pdf/,document-feed,EMEA DC Decision 14012016 – Latest Revision,,,False
2016-01-15,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-15012016.pdf/,document-feed,EMEA DC Decision 15012016 – Latest Revision,,,False
2016-01-19,EMEA,,1901201602,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-1901201602-v-4.pdf/,document-feed,EMEA DC Decision 1901201602 v.4 – Latest Revision,,,False
2016-01-19,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-01/,document-feed,EMEA DC Decision 01 – Latest Revision,,,False
2016-01-19,EMEA,New,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-19012016-new.pdf/,document-feed,EMEA DC Decision 19012016- New – Latest Revision,,,False
2016-01-19,,Pool Members,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/pool-members.pdf/,document-feed,Pool Members – Latest Revision,,,False
2016-01-19,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-19012016.pdf/,document-feed,EMEA DC Decision 19012016 – Latest Revision,,,False
2016-01-20,,General Electric Capital Corporation,2016010601,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/2016010601-general-electric-capital-corporation.pdf/,document-feed,2016010601 General Electric Capital Corporation – Latest Revision,,,False
2016-01-20,,Ge Vote,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/ge-vote-1-20-16.pdf/,document-feed,GE Vote 1-20-16 – Latest Revision,,,False
2016-01-21,EMEA,New,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-20012016-new.pdf/,document-feed,EMEA DC Decision 20012016 (new) – Latest Revision,,,False
2016-01-21,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-21012016.pdf/,document-feed,EMEA DC Decision 21012016 – Latest Revision,,,False
2016-01-21,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-meeting-statement-21-january-2016.pdf/,document-feed,EMEA DC Meeting Statement 21 January 2016 – Latest Revision,,,False
2016-01-26,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/01/emea-dc-decision-26012016.pdf/,document-feed,EMEA DC Decision 26012016 – Latest Revision,,,False
2016-02-05,,Nb Isda Member Submission,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-isda-member-submission.pdf/,document-feed,NB- ISDA Member submission – Latest Revision,,,False
2016-02-05,,Nb Agreed Facts,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-agreed-facts.pdf/,document-feed,NB- agreed facts – Latest Revision,,,False
2016-02-05,,Nb No Exhibits,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-no-exhibits-2.pdf/,document-feed,NB- no exhibits – Latest Revision,,,False
2016-02-05,,Nb No Brief,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-no-brief.pdf/,document-feed,NB- No brief – Latest Revision,,,False
2016-02-05,,Nb Yes Exhibits,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-yes-exhibits.pdf/,document-feed,NB- Yes exhibits – Latest Revision,,,False
2016-02-05,,Novo Banco Yes Brief,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/novo-banco-yes-brief-2.pdf/,document-feed,Novo Banco- Yes brief – Latest Revision,,,False
2016-02-05,,Chubb Corporation Feb Final,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/chubb-corporation-feb-5-final-resolution.pdf/,document-feed,Chubb Corporation Feb 5 Final Resolution – Latest Revision,,,False
2016-02-10,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/dealer-dc-participation-letter-2016.doc/,document-feed,Dealer DC Participation Letter 2016 – Latest Revision,,,False
2016-02-11,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/emea-dc-decision-11022016.pdf/,document-feed,EMEA DC Decision 11022016 – Latest Revision,,,False
2016-02-15,,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/nb-er-decision.pdf/,document-feed,NB ER Decision – Latest Revision,,,False
2016-02-18,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/emea-dc-decision-18022016-2.pdf/,document-feed,EMEA DC Decision 18022016 – Latest Revision,,,False
2016-02-18,Americas,PACIFIC EXPLORATION & PRODUCTION CORPORATION,9082,Failure to Pay,DC credit event determination (auction held),decision,https://www.cdsdeterminationscommittees.org/cds/pacific-exploration-production-corporation/,dc-isda,PACIFIC EXPLORATION & PRODUCTION CORPORATION,auction,2016-04-06,True
2016-02-20,,Chubb Corporation,2016020101,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/2016020101-chubb-corporation.pdf/,document-feed,2016020101 (Chubb Corporation) – Latest Revision,,,False
2016-02-29,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/02/emea-dc-decision-29022016.pdf/,document-feed,EMEA DC Decision 29022016 – Latest Revision,,,False
2016-03-01,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/emea-dc-decision-01032016.pdf/,document-feed,EMEA DC Decision 01032016 – Latest Revision,,,False
2016-03-01,,Request To Join Ndc,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/request-to-join-ndc-2016-2.doc/,document-feed,Request to Join NDC 2016 – Latest Revision,,,False
2016-03-01,,Ndc Annual Certification Letter,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/ndc-annual-certification-letter.doc/,document-feed,NDC annual certification letter – Latest Revision,,,False
2016-03-02,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/emea-dc-decision-02032016.pdf/,document-feed,EMEA DC Decision 02032016 – Latest Revision,,,False
2016-03-02,Japan,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/japan-dc-decision-02032016.pdf/,document-feed,Japan DC Decision 02032016 – Latest Revision,,,False
2016-03-03,EMEA,,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/emea-dc-decision-03032016.pdf/,document-feed,EMEA DC Decision 03032016 – Latest Revision,,,False
2016-03-03,EMEA,,,,,statement,https://www.cdsdeterminationscommittees.org/documents/2016/03/emea-dc-meeting-statement-3-march-2016.pdf/,document-feed,EMEA DC Meeting Statement 3 March 2016 – Latest Revision,,,False
2016-03-10,,Pacific March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-dc-decision-march-10.pdf/,document-feed,Pacific DC Decision March 10 – Latest Revision,,,False
2016-03-11,,Pacific March Vote,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-march-11-vote.pdf/,document-feed,Pacific March 11 Vote – Latest Revision,,,False
2016-03-16,,Pacific Vote March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-vote-march-16.pdf/,document-feed,Pacific Vote March 16 – Latest Revision,,,False
2016-03-21,,Pacific March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-initial-list-march-21.pdf/,document-feed,Pacific Initial List March 21 – Latest Revision,,,False
2016-03-21,,Pacific Vote March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-vote-march-21.pdf/,document-feed,Pacific Vote March 21 – Latest Revision,,,False
2016-03-22,,Directtv Vote March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/directtv-vote-march-22.pdf/,document-feed,DirectTV Vote March 22 – Latest Revision,,,False
2016-03-23,,Pacific March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-supplemental-list-march-23.pdf/,document-feed,Pacific Supplemental List March 23 – Latest Revision,,,False
2016-03-28,,Pacific March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/pacific-final-list-march-28.pdf/,document-feed,Pacific Final List March 28 – Latest Revision,,,False
2016-03-31,,Directv Vote March,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/03/directv-vote-march-31.pdf/,document-feed,DirecTV Vote March 31 – Latest Revision,,,False
2016-04-01,,Pacific,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/pacific-ast-redline-against-alpha.pdf/,document-feed,Pacific AST redline against Alpha – Latest Revision,,,False
2016-04-01,,Pacific,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/pacific-ast-redline-against-abengoa.pdf/,document-feed,Pacific AST redline against Abengoa – Latest Revision,,,False
2016-04-01,,Pacific April,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/pacific-ast-april-1.pdf/,document-feed,Pacific AST April 1 – Latest Revision,,,False
2016-04-01,,Pacific Vote April,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/pacific-vote-april-1.pdf/,document-feed,Pacific Vote April 1 – Latest Revision,,,False
2016-04-04,,Pacific,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/pacific-participating-bidders.pdf/,document-feed,Pacific Participating Bidders – Latest Revision,,,False
2016-04-07,,Directv Vote April,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/directv-vote-april-7.pdf/,document-feed,DirecTV Vote April 7 – Latest Revision,,,False
2016-04-07,Japan,Sharp Corporation,2016040301,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/%ef%bb%bf%ef%bb%bfjapan-dc-decision-07042016-sharp-corporation-issue-number-2016040301%ef%bb%bf%ef%bb%bf.pdf/,document-feed,﻿﻿Japan DC Decision 07042016 – Sharp Corporation (Issue Number 2016040301)﻿﻿ – Latest Revision,,,False
2016-04-07,Japan,Sharp Corporation,2016040301,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/japan-dc-decision-07042016-sharp-corporation-issue-number-2016040301.pdf/,document-feed,Japan DC Decision 07042016 – Sharp Corporation (Issue Number 2016040301) – Latest Revision,,,False
2016-04-11,EMEA,Sro Resolutions,2014091601,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/emea-dc-decision-11042016-emea-sro-resolutions-issue-number-2014091601.pdf/,document-feed,EMEA DC Decision 11042016 – EMEA SRO Resolutions (Issue Number 2014091601) – Latest Revision,,,False
2016-04-13,,Directv Vote April,,,,decision,https://www.cdsdeterminationscommittees.org/documents/2016/04/directv-vote-april-13.pdf/,document-feed,DIRECTV Vote April 13 – Latest Revision,,,False
